method,seed,test_fold,reported_mcc,oracle_mcc,gap,cal_method,calibrated_mcc,oracle_recovery
E10.1_gib_b0.01,0,lycos_ids2017,-0.07264049233645989,0.19802458736557527,0.2706650797020351,topk30,0.10351765038625058,0.6508343925143067
E10.1_gib_b0.01,0,lycos_ids2017,-0.07264049233645989,0.19802458736557527,0.2706650797020351,topk40,0.19561219991617007,0.9910871862300785
E10.1_gib_b0.01,0,lycos_ids2017,-0.07264049233645989,0.19802458736557527,0.2706650797020351,prevalence_transfer,0.11856182693963639,0.7064166514815418
E1.B,0,cic_ids2018,0.0791931680532401,0.25801262007216935,0.17881945201892924,otsu,0.09291522782034937,0.07673695234037907
E1.B,0,cic_ids2018,0.0791931680532401,0.25801262007216935,0.17881945201892924,gmm,0.08475769850480527,0.031118149556660812
E1.B,0,cic_ids2018,0.0791931680532401,0.25801262007216935,0.17881945201892924,topk10,0.08840363650718497,0.05150708354127982
E1.B,0,cic_ids2018,0.0791931680532401,0.25801262007216935,0.17881945201892924,topk20,0.25611293044384736,0.98937649340229
E1.B,0,cic_ids2018,0.0791931680532401,0.25801262007216935,0.17881945201892924,topk30,0.1872964027366725,0.6045384518457698
E1.B,0,cic_ids2018,0.0791931680532401,0.25801262007216935,0.17881945201892924,topk40,0.12810462700801342,0.273524263733879
E1.B,0,cic_ids2018,0.0791931680532401,0.25801262007216935,0.17881945201892924,prevalence_transfer,0.10456053666161781,0.14186023009226315
E3.A,0,unsw_nb15,-0.37918000046520295,0.008558935684719358,0.38773893614992233,otsu,-0.3858452638273152,-0.017190080078868027
