method,seed,test_fold,n_edges,prevalence,reported_mcc,oracle_mcc,gap,auroc,auprc,pred_pos_rate_at_05,true_pos_rate_at_05,optimal_threshold,reported_threshold
E1.B,2,cic_ids2018,8392401,0.12144355351942787,0.0008821597910678909,0.1343046697008019,0.133422509909734,0.5956010275507307,0.1507164615859779,0.052104993553096425,0.12267257584281226,8.011948011699133e-07,0.5
E1.B,2,lycos_ids2017,1837486,0.24044972315435328,-0.1909631393371654,0.2825392189460737,0.4735023582832391,0.5911042882438222,0.2524079869930421,0.15315599683480582,0.04854986461612809,0.004050323739647865,0.5
E1.B,2,ton_iot,27520260,0.38982356998080686,-0.05392129621507478,0.20297651703276265,0.25689781324783745,0.5556714666079677,0.3848474668502839,0.00843378659939986,0.10467470917707884,2.0479486920521595e-05,0.5
E1.B,2,unsw_nb15,2538252,0.1258692990294108,-0.24642488974108887,0.0,0.24642488974108887,0.23762802441126693,0.07744360352009792,0.30448828563909336,0.00233157537897804,1.000001,0.5
E1.C,0,cic_ids2018,8392401,0.12144355351942787,-0.0001814990409382704,0.1797514389116011,0.1799329379525394,0.6395581596354551,0.22377529564713733,2.3831082428020302e-07,0.0,4.0629761777211115e-09,0.5
E1.C,0,lycos_ids2017,1837486,0.24044972315435328,-0.4463673918154539,0.0,0.4463673918154539,0.165851613341244,0.14457280823341884,0.48368531787453073,0.04336241863709755,1.000001,0.5
E1.C,0,unsw_nb15,2538252,0.1258692990294108,-0.021840080096317875,0.1492030672840227,0.17104314738034057,0.44456415302121466,0.1596238252772057,0.43521998603763534,0.11761676041777934,0.9967098236083984,0.5
E1.C,1,cic_ids2018,8392401,0.12144355351942787,-0.22674500115993776,0.008348193053017169,0.23509319421295494,0.23036262517821623,0.07361351396096924,0.5274034212616866,0.05133296627498966,1.0672300820857572e-09,0.5
E1.C,1,lycos_ids2017,1837486,0.24044972315435328,0.161697189114774,0.1634101181913991,0.0017129290766251248,0.5707603816671287,0.2794112000674598,0.41458873700262205,0.3225632415814629,0.5993280410766602,0.5
E1.C,1,unsw_nb15,2538252,0.1258692990294108,-0.08888809607057525,0.003805250139945396,0.09269334621052065,0.37662100149398564,0.10258183347033106,0.3847226358927325,0.08858265499122908,0.9404473304748535,0.5
E1.C,2,cic_ids2018,8392401,0.12144355351942787,-0.17467233572010296,0.0,0.17467233572010296,0.2857955583081312,0.07867077265449267,0.20123990738764747,0.007773171190950721,0.990623341632843,0.5
E1.C,2,lycos_ids2017,1837486,0.24044972315435328,-0.28901742702909217,0.0,0.28901742702909217,0.23509904778934915,0.15266967410924367,0.2620041730930195,0.03315546009899695,1.000001,0.5
E1.C,2,unsw_nb15,2538252,0.1258692990294108,-0.3048912878518389,0.0,0.3048912878518389,0.1257100710319209,0.06992676151771338,0.4793483862122437,0.020469184446214247,1.000001,0.5
E1.E,0,cic_ids2018,8392401,0.12144355351942787,0.527660813859896,0.5925112372634228,0.06485042340352676,0.869541875407479,0.34132956229110295,0.2780138842269334,0.3991961268710323,0.575819194316864,0.5
E1.E,0,lycos_ids2017,1837486,0.24044972315435328,-0.3516372941220468,0.10346288709612467,0.4551001812181715,0.25728028474640047,0.1662101573266282,0.4565047026208635,0.07648115628960171,0.014128231443464756,0.5
E1.E,0,unsw_nb15,2538252,0.1258692990294108,0.24865166059563604,0.3836404286989402,0.13498876810330418,0.72217529005529,0.26793824982014103,0.5090452011856978,0.20686874315544257,0.6218408346176147,0.5
E1.E,1,cic_ids2018,8392401,0.12144355351942787,0.14984457189540065,0.5041056051225347,0.354261033227134,0.8332797696400608,0.3110909351312852,0.20306012546349966,0.21840822644795507,0.1420685052871704,0.5
E1.E,1,lycos_ids2017,1837486,0.24044972315435328,-0.42604480165725633,0.14682373559964804,0.5728685372569043,0.1977324462545973,0.15188077938887304,0.3745916975693964,0.005189544781616343,0.016160620376467705,0.5
E1.E,1,unsw_nb15,2538252,0.1258692990294108,0.28111661867479987,0.5664770146372462,0.28536039596244633,0.8298618884231528,0.3807645922779773,0.5345844305451153,0.2128748406305503,0.6592947840690613,0.5
E1.E,2,cic_ids2018,8392401,0.12144355351942787,0.2687167700382876,0.29388618971170344,0.02516941967341585,0.7181555201728529,0.22031123862507235,0.22822682090619836,0.28285277369240736,0.019456656649708748,0.5
E1.E,2,lycos_ids2017,1837486,0.24044972315435328,-0.40181191904739283,0.025187511540444484,0.4269994305878373,0.17472819535777162,0.14655775660585288,0.44236527516400126,0.04765390482751833,0.004690402653068304,0.5
E1.E,2,unsw_nb15,2538252,0.1258692990294108,0.29923420303170467,0.559565199028046,0.26033099599634135,0.825649532005226,0.38104884137380507,0.48949473889905337,0.2272336918422389,0.7376704812049866,0.5
E10.1_gib_b0.001,0,lycos_ids2017,1837486,0.24044972315435328,-0.041300051983607595,0.09097257969264844,0.13227263167625603,0.43831266951486836,0.22126886044024727,0.02496726505671336,0.13015236392963794,0.031138451769948006,0.5
E10.1_gib_b0.01,0,lycos_ids2017,1837486,0.24044972315435328,-0.07264049233645989,0.19802458736557527,0.2706650797020351,0.5732199673674917,0.2709631104807452,0.06564947977834933,0.12333582027687971,0.031298208981752396,0.5
E10.1_gib_b0.1,0,lycos_ids2017,1837486,0.24044972315435328,-0.08358938109688716,0.044581685738710165,0.1281710668355973,0.24836536685509947,0.15894199759059705,0.0371273577050383,0.058530364550504976,0.9997759461402893,0.5
